👉公        告,#genre#
此版本,https://www.mpimg.cn/down.php/84bdc5a6f6774393d365a23f9b34518b.mp4
已经失效,https://vd3.bdstatic.com/mda-mkp88kxv6r8y73k9/sc/cae_h264/1637733263867775329/mda-mkp88kxv6r8y73k9.mp4      
电视家3.10.29,https://vd2.bdstatic.com/mda-mkp6w1tjw8mz9kpx/sc/cae_h264/1637731815454834601/mda-mkp6w1tjw8mz9kpx.mp4
新版本已经发布,https://vd4.bdstatic.com/mda-mkq704rtr59i9jtj/sc/cae_h264/1637823373696903055/mda-mkq704rtr59i9jtj.mp4
请立即关注,https://vd2.bdstatic.com/mda-majhhns1q3ggkdi6/v1-cae/sc/mda-majhhns1q3ggkdi6.mp4
微信公众号,https://www.mpimg.cn/down.php/84bdc5a6f6774393d365a23f9b34518b.mp4
蚂蚁的日常,https://vd3.bdstatic.com/mda-mhve4gb9hi8cstzk/1080p/cae_h264/1630319514896018158/mda-mhve4gb9hi8cstzk.mp4
发送“电视”,https://vd4.bdstatic.com/mda-mhwf07t27w3gi1y7/1080p/cae_h264/1630406994590156367/mda-mhwf07t27w3gi1y7.mp4
获取新版本,https://vd2.bdstatic.com/mda-mdscsws7443npwa8/1080p/cae_h264/1619516504/mda-mdscsws7443npwa8.mp4
新版本新频道,https://vd3.bdstatic.com/mda-mekfm7wu6f4rtt99/1080p/cae_h264/1621595318412084671/mda-mekfm7wu6f4rtt99.mp4
内容更加精彩,https://vd4.bdstatic.com/mda-mkpbcp1thzqg8vju/sc/cae_h264/1637772142027994508/mda-mkpbcp1thzqg8vju.mp4
节目源超级多,https://vd3.bdstatic.com/mda-mknba5i60je0d2dn/sc/cae_h264/1637654844357830568/mda-mknba5i60je0d2dn.mp4
不要错过哦,https://vd2.bdstatic.com/mda-mkq4p7459ade8936/sc/cae_h264/1637813773613914093/mda-mkq4p7459ade8936.mp4
q群459938687,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239903321355.mp4
不定时更新维护,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239799872402.mp4
免费严谨商用,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239799088974.mp4
后果自负,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240024786285.mp4
.com//play/u/57349687/p/1/e/6/t/1/240024786285.mp4
央视频道,#genre#
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
CCTV4,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
浙江卫视8M,https://live.goodiptv.club/api/bestv.php?id=zjwshd8m/8000000
广西卫视8M,https://live.goodiptv.club/api/bestv.php?id=gxwshd8m/8000000
广东卫视8M,https://live.goodiptv.club/api/bestv.php?id=gdwshd8m/8000000
天津卫视8M,https://live.goodiptv.club/api/bestv.php?id=tjwshd8m/8000000
江西卫视8M,https://live.goodiptv.club/api/bestv.php?id=jxws8m/8000000
河南卫视8M,https://live.goodiptv.club/api/bestv.php?id=hnwshd8m/8000000
山东卫视8M,https://live.goodiptv.club/api/bestv.php?id=sdws8m/8000000
东方卫视8M,https://live.goodiptv.club/api/bestv.php?id=dfwshd8m/8000000
辽宁卫视8M,https://live.goodiptv.club/api/bestv.php?id=lnwshd8m/8000000
\\江苏卫视8M,https://live.goodiptv.club/api/bestv.php?id=jswshd8m/8000000
北京卫视8M,https://live.goodiptv.club/api/bestv.php?id=bjwshd8m/8000000
四川卫视8M,https://live.goodiptv.club/api/bestv.php?id=scwshd/8000000
吉林卫视8M,https://live.goodiptv.club/api/bestv.php?id=jlwshd8m/8000000
湖南卫视8M,https://live.goodiptv.club/api/bestv.php?id=hunanwshd8m/8000000
河北卫视8M,https://live.goodiptv.club/api/bestv.php?id=hbwshd8m/8000000
黑龙江卫�?8M,https://live.goodiptv.club/api/bestv.php?id=hljwshd8m/8000000
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
劲爆体育8M,https://live.goodiptv.club/api/bestv.php?id=jbtyhd8m/8000000
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
欢笑剧场8M,https://live.goodiptv.club/api/bestv.php?id=hxjc8m/8000000
安徽卫视8M,https://live.goodiptv.club/api/bestv.php?id=ahwshd8m/8000000
快乐垂钓8M,https://live.goodiptv.club/api/bestv.php?id=klcd8m/8000000
金鹰纪实8M,https://live.goodiptv.club/api/bestv.php?id=jyjs8m/8000000
戏曲精�?8M,https://live.goodiptv.club/api/bestv.php?id=xqjx8m/8000000
上海第一财经8M,https://live.goodiptv.club/api/bestv.php?id=dycjhd8m/8000000
上视新闻8M,https://live.goodiptv.club/api/bestv.php?id=xwzhhd8m/8000000
上海都市8M,https://live.goodiptv.club/api/bestv.php?id=dshd8m/8000000
东方影视8M,https://live.goodiptv.club/api/bestv.php?id=dfyshd8m/8000000
上海纪实8M,https://live.goodiptv.club/api/bestv.php?id=jspdhd/4000000
五星体育8M,https://live.goodiptv.club/api/bestv.php?id=wxtyhd8m/8000000
七彩戏剧8M,https://live.goodiptv.club/api/bestv.php?id=qcxjhd8m/8000000
上视外语8M,https://live.goodiptv.club/api/bestv.php?id=icshd8m/8000000
全纪�?8M,https://live.goodiptv.club/api/bestv.php?id=qjshd8m/8000000
