新片场,#genre#
安徽光影,https://jihulab.com/ww4585047/jk/-/raw/main/lv_0_20231211113050_%E5%8E%8B%E7%BC%A9.mp4?ref_type=heads
上海之声,https://jihulab.com/qianruan/tszs/-/raw/main/sp/shzs.mp4
广东醒狮,https://jihulab.com/qianruan/tszs/-/raw/main/sp/gdxs.mp4
梦回徽州,https://jihulab.com/qianruan/tszs/-/raw/main/sp/mhhz.mp4
何为河南,https://jihulab.com/qianruan/tszs/-/raw/main/sp/hwhn.mp4
湖南寻龙,https://jihulab.com/qianruan/tszs/-/raw/main/sp/hnxl.mp4
江苏水韵,https://jihulab.com/qianruan/tszs/-/raw/main/sp/jssy.mp4
山东蓝翔,https://jihulab.com/qianruan/tszs/-/raw/main/sp/sdlx.mp4
活力浙江,https://jihulab.com/qianruan/tszs/-/raw/main/sp/hlzj.mp4
辽宁鞍家,https://jihulab.com/qianruan/tszs/-/raw/main/sp/lnaj.mp4
翡翠台,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8
大爱2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8#https://pulltv1.wanfudaluye.com/live/tv2.m3u8
和平精英,https://d1--cn-gotcha204.bilivideo.com/live-bvc/750616/live_50329337_6907945_4000/index.m3u8
王者荣耀,https://d1--cn-gotcha204.bilivideo.com/live-bvc/483937/live_392836434_52698792_4000/index.m3u8
菏泽影视频道,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
灵宝新闻综合,http://tvpull.dxhmt.cn:9081/tv/11282-1.m3u8#http://live.dxhmt.cn:9081/tv/11282-1.m3u8
灵璧综合频道,http://live.cms.anhuinews.com/video/s10003-lbtv/index.m3u8
南京十八,http://live.nbs.cn/channels/njtv/sbpd/m3u8:500k/live.m3u8
南京信息,http://live.nbs.cn/channels/njtv/xxpd/m3u8:500k/live.m3u8
南京娱乐,http://live.nbs.cn/channels/njtv/ylpd/m3u8:500k/live.m3u8
南宁都市生活,http://hls.nntv.cn/nnlive/NNTV_METRO_A.m3u8
南宁公共,http://hls.nntv.cn/nnlive/NNTV_PUB_A.m3u8
南宁新闻综合,http://hls.nntv.cn/nnlive/NNTV_NEWS_A.m3u8
南宁影视娱乐,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8
南通崇川综合,http://cm.wshls.homecdn.com/live/7cc1.m3u8#http://cm.wshls.homecdn.com/live/7cc1.flv
绍兴公共频道,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8
绍兴影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
绍兴综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8
石河子新闻综合,http://124.88.144.73:1935/live/xwzh/playlist.m3u8



央视频道,#genre#
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
