

央视高清频道,#genre#


CCTV-1高清,http://150.138.8.143:80/00/SNM/CHANNEL00000311/index.m3u8
CCTV-2高清,http://150.138.8.143:80/00/SNM/CHANNEL00000317/index.m3u8

CCTV-4高清,http://150.138.8.143:80/00/SNM/CHANNEL00000320/index.m3u8

CCTV-5+高清,http://150.138.8.143:80/00/SNM/CHANNEL00000316/index.m3u8

CCTV-7高清,http://150.138.8.143:80/00/SNM/CHANNEL00000318/index.m3u8

CCTV-9高清,http://150.138.8.143:80/00/SNM/CHANNEL00000319/index.m3u8
CCTV-10高清,http://150.138.8.143:80/00/SNM/CHANNEL00000321/index.m3u8

CCTV-12高清,http://150.138.8.143:80/00/SNM/CHANNEL00000322/index.m3u8

CCTV-14高清,http://150.138.8.143:80/00/SNM/CHANNEL00000323/index.m3u8

CCTV-1,http://150.138.8.143:80/00/SNM/CHANNEL00000001/index.m3u8
CCTV-3,http://150.138.8.143:80/00/SNM/CHANNEL00000003/index.m3u8
CCTV-5,http://150.138.8.143:80/00/SNM/CHANNEL30000005/index.m3u8
CCTV-6,http://150.138.8.143:80/00/SNM/CHANNEL00000006/index.m3u8
CCTV-8,http://150.138.8.143:80/00/SNM/CHANNEL00000008/index.m3u8
CCTV-11,http://150.138.8.143:80/00/SNM/CHANNEL00000011/index.m3u8
CCTV-13,http://150.138.8.143:80/00/SNM/CHANNEL00000013/index.m3u8
CCTV-15,http://150.138.8.143:80/00/SNM/CHANNEL00000015/index.m3u8
CCTV-NEWS,http://150.138.8.143:80/00/SNM/CHANNEL00000009/index.m3u8


湖南卫视高清,http://150.138.8.143:80/00/SNM/CHANNEL00000324/index.m3u8
浙江卫视高清,http://150.138.8.143:80/00/SNM/CHANNEL00000305/index.m3u8
东方卫视高清,http://150.138.8.143:80/00/SNM/CHANNEL00000309/index.m3u8
江苏卫视高清,http://150.138.8.143:80/00/SNM/CHANNEL00000304/index.m3u8
北京卫视高清,http://150.138.8.143:80/00/SNM/CHANNEL00000302/index.m3u8
安徽卫视高清,http://150.138.8.143:80/00/SNM/CHANNEL00000328/index.m3u8
天津卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000021/index.m3u8
辽宁卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000026/index.m3u8
深圳卫视高清,http://150.138.8.143:80/00/SNM/CHANNEL00000308/index.m3u8
东南卫视高清,http://150.138.8.143:80/00/SNM/CHANNEL00000310/index.m3u8
湖北卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000031/index.m3u8
广东卫视高清,http://150.138.8.143:80/00/SNM/CHANNEL00000307/index.m3u8
黑龙江卫视高清,http://150.138.8.143:80/00/SNM/CHANNEL00000306/index.m3u8
重庆卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000023/index.m3u8
贵州卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000041/index.m3u8
江西卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000035/index.m3u8
河北卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000034/index.m3u8
旅游卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000030/index.m3u8
