

📺科普,#genre#
风味人间,http://mmitv.top/test/douyu.php?id=9650849
日本女摔,http://mmitv.top/pltv/yy.php?id=1355285961
上海纪实,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001019/1.m3u8
上海纪实,http://111.20.34.9:6060/000000001000/1000000001000016545/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT1958320221014141102306762&channel-id=ystenlive&Contentid=1000000001000016545
上海纪实,http://39.134.65.87:80/wh7f454c46tw2587236182_1752686628/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8?icpid=88888888&RTS=1583531259&from=1&hms_devid=129
上海五星,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=5000000010000017540&livemode=1&stbId=4
上海五星,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/wxtyhd8m/8000000/mnf.m3u8
上海五星,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001018/1.m3u8
上海五星,http://zteres.sn.chinamobile.com:6060/000000001000/5000000010000017540/index.m3u8?channel-id=bestzb&Contentid=5000000010000017540&livemode=1&stbId=3
上海五星,http://36.155.98.21/gslbserv.itv.cmvideo.cn:80/5000000010000017540/index.m3u8?channel-id=bestzb&Contentid=5000000010000017540&livemode=1&stbId=3
求索科学,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8
求索科学,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032344/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032344&livemode=1&stbId=3
求索科学,http://111.11.123.36:6610/000000001000/6000000002000032344/1.m3u8?Contentid=6000000002000032344&livemode=1&stbId=3&channel-id=wasusyt
求索纪录,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8
求索纪录,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032052/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032052&livemode=1&stbId=3
求索纪录,http://111.11.123.30:6610/000000001000/6000000002000032052/1.m3u8?Contentid=6000000002000032052&livemode=1&stbId=3&channel-id=wasusyt
求索生活,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8
求索生活,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000003382/index.m3u8?channel-id=wasusyt&Contentid=6000000002000003382&livemode=1&stbId=3
求索生活,http://111.11.123.33:6610/000000001000/6000000002000003382/1.m3u8?Contentid=6000000002000003382&livemode=1&stbId=3&channel-id=wasusyt
求索动物,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8
求索动物,http://[2409:8087:7001:20:1000::94]:6610/000000001001/1/index.m3u8?channel-id=wasusyt&Contentid=6000000002000010046&livemode=1&stbId=3
求索动物,http://111.11.123.36:6610/000000001000/6000000002000010046/1.m3u8?Contentid=6000000002000010046&livemode=1&stbId=3&channel-id=wasusyt
兵器科技,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
兵器科技,http://111.20.40.163/PLTV/88888893/224/3221226975/index.m3u8
兵器科技,http://cfss.cc/ds/sxyh.php?id=bqkj&Cf.m3u8
军事评论,http://[2409:8087:2001:20:2800:0:df6e:eb18]/wh7f454c46tw3373254713_1111569189/ott.mobaibox.com/PLTV/3/224/3221227544/index.m3u8
军事评论,http://111.11.123.39:6610/000000001000/5822616274253344775/1.m3u8?Contentid=5822616274253344775&livemode=1&stbId=2&channel-id=ystenlive
军事评论,http://39.134.66.2/PLTV/88888888/224/3221225535/index.m3u8
爱历史,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000150630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000150630&livemode=1&stbId=3
爱历史,http://111.20.34.9:6060/000000001000/2000000004000000046/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT1958320221014141102306762&channel-id=hnbblive&Contentid=2000000004000000046
